Query,Title,Authors,Year,DOI
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),"Novel risk prediction models for deep vein thrombosis after thoracotomy and thoracoscopic lung cancer resections, involving coagulation and immune function.","Li J, Zhang F, Lan X, Li F, Tan C, Cao W",2023,20220617
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),"Novel risk prediction models, involving coagulation, thromboelastography, stress response, and immune function indicators, for deep vein thrombosis after radicalresection of cervical cancer and ovarian cancer.","Zhang J, Chen J, Yang X, Han J, Chen X, Fan Y, Zheng H",2023 Dec,10.1080/01443615.2023.2204162 [doi]
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning prediction of venous thromboembolism after surgeries of major sellar region tumors.,"Qiao N, Zhang Q, Chen L, He W, Ma Z, Ye Z, He M, Zhang Z, Zhou X, Shen M, Shou X, Cao X, Wang Y, Zhao Y",2023 Jun,10.1016/j.thromres.2023.04.007 [doi]
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Characterizing and Predicting Limited Early Response in Eyes With Retinal Vein Occlusion Using Machine Learning in Routine Clinical Practice.,"Kailar RS, Perkins SW, Kuo BL, Singh RP",2023 Apr,10.3928/23258160-20230317-01 [doi]
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning to predict major bleeding during anticoagulation for venous thromboembolism: possibilities and limitations.,"Mora D, Mateo J, Nieto JA, Bikdeli B, Yamashita Y, Barco S, Jimenez D, Demelo-Rodriguez P, Rosa V, Yoo HHB, Sadeghipour P, Monreal M",2023 Jun,10.1111/bjh.18737 [doi]
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Deep Learning Algorithm Enables Cerebral Venous Thrombosis Detection With Routine Brain Magnetic Resonance Imaging.,"Yang X, Yu P, Zhang H, Zhang R, Liu Y, Li H, Sun P, Liu X, Wu Y, Jia X, Duan J, Ji X, Yang Q",2023 May,10.1161/STROKEAHA.122.041520 [doi]
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Deep learning-based classification of adequate sonographic images for self-diagnosing deep vein thrombosis.,"Nakayama Y, Sato M, Okamoto M, Kondo Y, Tamura M, Minagawa Y, chiyama M, Horii Y",2023,e0282747
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Using machine learning to predict venous thromboembolism and major bleeding events following total joint arthroplasty.,"Shohat N, Ludwick L, Sherman MB, Fillingham Y, Parvizi J",2023 Feb 7,2197
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning predicts cancer-associated venous thromboembolism using clinically available variables in gastric cancer patients.,"Xu Q, Lei H, Li X, Li F, Shi H, Wang G, Sun A, Wang Y, Peng B",2023 Jan,e12681
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Artificial Intelligence-Based Prediction of Lower Extremity Deep Vein Thrombosis Risk After Knee/Hip Arthroplasty.,"Wang X, Xi H, Geng X, Li Y, Zhao M, Li F, Li Z, Ji H, Tian H",2023 Jan-Dec,10760296221139263
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Whole blood transcriptome identifies interferon-regulated genes as key drivers in thrombotic primary antiphospholipid syndrome.,"Verrou KM, Sfikakis PP, Tektonidou MG",2023 Jan,10.1016/j.jaut.2022.102978 [doi]
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Developing and optimizing a machine learning predictive model for post-thrombotic syndrome in a longitudinal cohort of patients with proximal deep venousthrombosis.,"Wu Z, Li Y, Lei J, Qiu P, Liu H, Yang X, Chen T, Lu X",2023 May,10.1016/j.jvsv.2022.12.006 [doi]
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Development and validation of a machine learning model to predict venous thromboembolism among hospitalized cancer patients.,"Meng L, Wei T, Fan R, Su H, Liu J, Wang L, Huang X, Qi Y, Li X",2022 Dec,100128
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Subtype-specific plasma signatures of platelet-related protein releasate in acute pulmonary embolism.,"Baidildinova G, Ten Cate V, Nagler M, Panova-Noeva M, Rapp S, Kock T, Prochaska JH, Heitmeier S, Gerdes C, Schwers S, Konstantinides SV, Munzel T, Espinola-Klein C, Lackner KJ, Spronk HMN, Ten Cate H, van der Meijden PEJ, Leineweber K, Wild PS, Jurk K",2022 Dec,10.1016/j.thromres.2022.10.005 [doi]
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning algorithm as a prognostic tool for venous thromboembolism in allogeneic transplant patients.,"Deng RX, Zhu XL, Zhang AB, He Y, Fu HX, Wang FR, Mo XD, Wang Y, Zhao XY, Zhang YY, Han W, Chen H, Chen Y, Yan CH, Wang JZ, Han TT, Chen YH, Chang YJ, Xu LP, Huang XJ, Zhang XH",2023 Jan,10.1016/j.jtct.2022.10.007 [doi]
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Longitudinal analysis of aqueous humour cytokine expression and OCT-based imaging biomarkers in retinal vein occlusions treated with anti-vascular endothelialgrowth factor therapy in the IMAGINE study.,"repalli S, Wykoff CC, braham JR, Lunasco L, Yu H, Hu M, Srivastava SK, Reese JL, Brown D, Ehlers JP",2023 Jun,10.1038/s41433-022-02265-2 [doi]
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning-based prediction of the post-thrombotic syndrome: Model development and validation study.,"Yu T, Shen R, You G, Lv L, Kang S, Wang X, Xu J, Zhu D, Xia Z, Zheng J, Huang K",2022,990788
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Etiology of Macular Edema Defined by Deep Learning in Optical Coherence Tomography Scans.,"Padilla-Pantoja FD, Sanchez YD, Quijano-Nieto BA, Perdomo OJ, Gonzalez FA",2022 Sep 1,29
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning predicts portal vein thrombosis after splenectomy in patients with portal hypertension: Comparative analysis of three practical models.,"Li J, Wu QQ, Zhu RH, Lv X, Wang WQ, Wang JL, Liang BY, Huang ZY, Zhang EL",2022 Aug 28,10.3748/wjg.v28.i32.4681 [doi]
machine learning AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Risk Factors Associated with Mortality in COVID-19 Hospitalized Patients: Data from the Middle East.,"Karasneh RA, Khassawneh BY, l-Azzam S, l-Mistarehi AH, Lattyak WJ, ldiab M, Kabbaha S, Hasan SS, Conway BR, ldeyab MA",2022,9617319
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Application of machine learning to predict postoperative gastrointestinal bleed in bariatric surgery.,"Hsu JL, Chen KA, Butler LR, Bahraini A, Kapadia MR, Gomez SM, Farrell TM",2023 Jun 13,
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),en-Year Multicenter Retrospective Study Utilizing Machine Learning Algorithms to Identify Patients at High Risk of Venous Thromboembolism After RadicalGastrectomy.,"Liu Y, Song C, Tian Z, Shen W",2023,10.2147/IJGM.S408770 [doi]
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Application of Machine Learning to the Prediction of Cancer-Associated Venous Thromboembolism.,"Mantha S, Chatterjee S, Singh R, Cadley J, Poon C, Chatterjee A, Kelly D, Sterpi M, Soff G, Zwicker J, Soria J, Ruiz M, Munoz A, rcila M",2023 May 8,10.21203/rs.3.rs-2870367/v1 [doi]
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Exploring the Applicability of Using Natural Language Processing to Support Nationwide Venous Thromboembolism Surveillance: Model Evaluation Study.,"Wendelboe A, Saber I, Dvorak J, damski A, Feland N, Reyes N, be K, Ortel T, Raskob G",2022 May 8,
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Machine Learning to Dynamically Predict In-Hospital Venous Thromboembolism After Inguinal Hernia Surgery: Results From the CHAT-1 Study.,"Yan YD, Yu Z, Ding LP, Zhou M, Zhang C, Pan MM, Zhang JY, Wang ZY, Gao F, Li HY, Zhang GY, Lin HW, Wang MG, Gu ZC",2023 Jan-Dec,10760296231171082
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Machine learning prediction of venous thromboembolism after surgeries of major sellar region tumors.,"Qiao N, Zhang Q, Chen L, He W, Ma Z, Ye Z, He M, Zhang Z, Zhou X, Shen M, Shou X, Cao X, Wang Y, Zhao Y",2023 Jun,10.1016/j.thromres.2023.04.007 [doi]
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Machine learning to predict major bleeding during anticoagulation for venous thromboembolism: possibilities and limitations.,"Mora D, Mateo J, Nieto JA, Bikdeli B, Yamashita Y, Barco S, Jimenez D, Demelo-Rodriguez P, Rosa V, Yoo HHB, Sadeghipour P, Monreal M",2023 Jun,10.1111/bjh.18737 [doi]
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Derivation and Validation of a Machine Learning Algorithm for Predicting Venous Thromboembolism in Injured Children.,"Papillon SC, Pennell CP, Master SA, Turner EM, rthur LG, Grewal H, ronoff SC",2023 Jun,10.1016/j.jpedsurg.2023.02.040 [doi]
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Development and validation of machine learning models for postoperative venous thromboembolism prediction in colorectal cancer inpatients: a retrospectivestudy.,"Qin L, Liang Z, Xie J, Ye G, Guan P, Huang Y, Li X",2023 Feb 28,10.21037/jgo-23-18 [doi]
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Deep learning-based classification of adequate sonographic images for self-diagnosing deep vein thrombosis.,"Nakayama Y, Sato M, Okamoto M, Kondo Y, Tamura M, Minagawa Y, chiyama M, Horii Y",2023,e0282747
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Using machine learning to predict venous thromboembolism and major bleeding events following total joint arthroplasty.,"Shohat N, Ludwick L, Sherman MB, Fillingham Y, Parvizi J",2023 Feb 7,2197
