Query,Title,Authors,Year,DOI
,[PDF][PDF] A machine learning approach to predict deep venous thrombosis among hospitalized patients,"L Ryan, S Mataraso, A Siefkas… - Clinical and Applied …, 2021 - journals.sagepub.com",N/A,N/A
,Evaluation of Machine Learning Algorithms for Early Diagnosis of Deep Venous Thrombosis,"EE Contreras-Luján, EE García-Guerrero… - Mathematical and …, 2022 - mdpi.com",N/A,N/A
,Machine learning to predict venous thrombosis in acutely ill medical patients,"T Nafee, CM Gibson, R Travis, MK Yee… - … and Practice in …, 2020 - Wiley Online Library",N/A,N/A
,[HTML][HTML] Predicting venous thrombosis in osteoarthritis using a machine learning algorithm: a population-based cohort study,"C Lu, J Song, H Li, W Yu, Y Hao, K Xu, P Xu - Journal of Personalized …, 2022 - mdpi.com",N/A,N/A
,Comparison between deep learning and conventional machine learning in classifying iliofemoral deep venous thrombosis upon CT venography,"JH Hwang, JW Seo, JH Kim, S Park, YJ Kim, KG Kim - Diagnostics, 2022 - mdpi.com",N/A,N/A
,[HTML][HTML] Prediction of central venous catheter-associated deep venous thrombosis in pediatric critical care settings,"H Li, Y Lu, X Zeng, C Fu… - BMC Medical …, 2021 - bmcmedinformdecismak …",N/A,N/A
,… and optimizing a machine learning predictive model for post-thrombotic syndrome in a longitudinal cohort of patients with proximal deep venous thrombosis,"Z Wu, Y Li, J Lei, P Qiu, H Liu, X Yang, T Chen… - Journal of Vascular …, 2023 - Elsevier",N/A,N/A
,[HTML][HTML] Prediction of venous thromboembolism with machine learning techniques in young-middle-aged inpatients,"H Liu, H Yuan, Y Wang, W Huang, H Xue, X Zhang - Scientific Reports, 2021 - nature.com",N/A,N/A
,Machine learning approaches for risk assessment of peripherally inserted Central catheter-related vein thrombosis in hospitalized patients with cancer,"S Liu, F Zhang, L Xie, Y Wang, Q Xiang, Z Yue… - International Journal of …, 2019 - Elsevier",N/A,N/A
,Using predictive modeling and supervised machine learning to identify patients at risk for venous thromboembolism following posterior lumbar fusion,"KY Wang, I Ikwuezunma… - Global Spine …, 2023 - journals.sagepub.com",N/A,N/A
,Machine learning predicts cancer-associated deep vein thrombosis using clinically available variables,"S Jin, D Qin, BS Liang, LC Zhang, XX Wei… - International journal of …, 2022 - Elsevier",N/A,N/A
,[HTML][HTML] Risk factors for central venous catheter-associated deep venous thrombosis in pediatric critical care settings identified by fusion model,"H Li, Y Lu, X Zeng, Y Feng, C Fu… - Thrombosis …, 2022 - thrombosisjournal.biomedcentral …",N/A,N/A
,[HTML][HTML] Machine learning prediction of venous thromboembolism after surgeries of major sellar region tumors,"N Qiao, Q Zhang, L Chen, W He, Z Ma, Z Ye, M He… - Thrombosis …, 2023 - Elsevier",N/A,N/A
,[HTML][HTML] Validation of a machine learning approach for venous thromboembolism risk prediction in oncology,"P Ferroni, FM Zanzotto, N Scarpato, S Riondino… - Disease …, 2017 - hindawi.com",N/A,N/A
,Machine learning algorithm as a prognostic tool for venous thromboembolism in allogeneic transplant patients,"RX Deng, XL Zhu, AB Zhang, Y He, HX Fu… - … and Cellular Therapy, 2023 - Elsevier",N/A,N/A
,A machine learning model for the prediction of peripherally inserted central catheter-related venous thrombosis among high-risk adult patients,"S Cao, S Wang, YM Fan, B Cheng, L Zhu, L Li… - 2023 - researchsquare.com",N/A,N/A
,Development of a predictive model of venous thromboembolism recurrence in anticoagulated cancer patients using machine learning,"AJ Muñoz, JC Souto, R Lecumberri, B Obispo… - Thrombosis …, 2023 - Elsevier",N/A,N/A
,"[PDF][PDF] Association of FXI activity with thrombo-inflammation, extracellular matrix, lipid metabolism and apoptosis in venous thrombosis","A Pallares Robles, V Ten Cate, A Schulz… - Scientific Reports, 2022 - Springer",N/A,N/A
,[HTML][HTML] Machine learning predicts cancer-associated venous thromboembolism using clinically available variables in gastric cancer patients,"Q Xu, H Lei, X Li, F Li, H Shi, G Wang, A Sun, Y Wang… - Heliyon, 2023 - Elsevier",N/A,N/A
,Automatic Diagnosis Model for Risk Factors of Symptomatic Venous Thromboembolism based on Machine Learning,"P Anupoomchaiya, A Sukperm… - 2022 19th …, 2022 - ieeexplore.ieee.org",N/A,N/A
,[HTML][HTML] Machine learning analyses constructed a novel model to predict recurrent thrombosis in adults with essential thrombocythemia,"J Chen, H Dong, R Fu, X Liu, F Xue, W Liu… - Journal of Thrombosis …, 2023 - Springer",N/A,N/A
,[HTML][HTML] Predictive analytics by deep machine learning: A call for next‐gen tools to improve health care,"P Wells - Research and Practice in Thrombosis and …, 2020 - ncbi.nlm.nih.gov",N/A,N/A
,Automatic diagnosis of venous thromboembolism risk based on machine learning,"A Sukperm, P Rojnuckarin, B Akkawat… - … IEEE International IOT …, 2021 - ieeexplore.ieee.org",N/A,N/A
,[HTML][HTML] A novel hierarchical machine learning model for hospital-acquired venous thromboembolism risk assessment among multiple-departments,"H Ma, W Sheng, J Li, L Hou, J Yang, J Cai, W Xu… - Journal of Biomedical …, 2021 - Elsevier",N/A,N/A
,[HTML][HTML] Development and validation of a machine learning model to predict venous thromboembolism among hospitalized cancer patients,"L Meng, T Wei, R Fan, H Su, J Liu, L Wang… - Asia-Pacific Journal of …, 2022 - Elsevier",N/A,N/A
,"Using artificial intelligence to manage thrombosis research, diagnosis, and clinical management","A Mishra, MZ Ashraf - Seminars in thrombosis and hemostasis, 2020 - thieme-connect.com",N/A,N/A
,[HTML][HTML] Non-invasive diagnosis of deep vein thrombosis from ultrasound imaging with machine learning,"B Kainz, MP Heinrich, A Makropoulos… - NPJ Digital …, 2021 - nature.com",N/A,N/A
,[HTML][HTML] Using machine learning to predict venous thromboembolism and major bleeding events following total joint arthroplasty,"N Shohat, L Ludwick, MB Sherman, Y Fillingham… - Scientific Reports, 2023 - nature.com",N/A,N/A
,[PDF][PDF] Risk assessment for venous thromboembolism in chemotherapy-treated ambulatory cancer patients: a machine learning approach,"P Ferroni, FM Zanzotto, N Scarpato… - Medical Decision …, 2017 - journals.sagepub.com",N/A,N/A
